date,narration,amount,type
2024-06-10,BigBasket order,2433.32,debit
2025-06-11,Microsoft Azure 1379,11478.92,debit
2025-07-05,Razorpay settlement 6751,24021.58,credit
2025-08-22,Team lunch 6990,3567.82,debit
2025-11-01,Uber ride 3711,185.16,debit
2025-05-13,Spotify premium,106.46,debit
2025-07-15,Google Workspace,1501.28,debit
2024-10-01,Uber ride 3527,239.6,debit
2024-07-04,Zoom subscription,1206.35,debit
2024-06-27,Salary credit 8570,66013.57,credit
2024-07-03,Figma subscription,818.61,debit
2025-05-12,Slack subscription,643.53,debit
2025-01-31,Zomato order #7993,756.35,debit
2025-01-13,Google Workspace,1491.36,debit
2025-03-31,Razorpay settlement 1368,18403.77,credit
2025-12-19,Google Workspace,695.81,debit
2026-03-25,Team lunch 9011,7237.11,debit
2025-06-09,Electricity bill 3848,3708.73,debit
2024-06-08,Team lunch 7133,7115.66,debit
2025-10-31,Microsoft Azure 5413,16408.73,debit
2025-07-22,Microsoft Azure 9041,14740.36,debit
2025-09-15,Electricity bill 3824,3034.08,debit
2025-10-03,Jio recharge,243.68,debit
2024-04-27,Flight booking 5198,19111.87,debit
2025-11-11,Flipkart order #2108,525.33,debit
2025-11-19,Freelance payment 7491,32663.58,credit
2024-09-10,Razorpay settlement 2341,38963.28,credit
2024-08-12,Ola cab 2078,97.0,debit
2025-02-12,Uber ride 3924,394.49,debit
2024-05-11,Myntra order #4161,2450.77,debit
2026-03-27,Electricity bill 3259,4876.19,debit
2024-10-23,Freelance payment 5995,46594.42,credit
2024-09-23,Slack subscription,1226.36,debit
2025-12-12,Netflix subscription,537.59,debit
2025-01-14,Flipkart order #2169,996.13,debit
2025-12-05,Uber ride 8192,281.93,debit
2025-03-09,BigBasket order,2057.27,debit
2025-10-05,Jio recharge,437.68,debit
2025-10-15,Microsoft Azure 2303,6703.32,debit
2025-09-11,Amazon purchase,393.62,debit
2025-02-25,Slack subscription,1796.1,debit
2025-08-03,Flight booking 2157,5490.63,debit
2024-02-14,Slack subscription,1189.14,debit
2024-10-15,GitHub subscription,1115.1,debit
2025-12-11,Google Workspace,750.13,debit
2024-10-01,Bank charges 7621,145.61,debit
2025-02-20,Flipkart order #1960,2029.16,debit
2024-04-26,Team lunch 6724,5059.71,debit
2024-01-07,Razorpay settlement 2113,11187.12,credit
2025-02-27,Salary credit 6278,68793.49,credit
2025-11-04,Flight booking 3302,9747.22,debit
2025-02-11,Flipkart order #2483,2843.42,debit
2025-07-04,Office supplies,1882.13,debit
2025-11-10,Spotify premium,136.9,debit
2026-01-03,Microsoft Azure 8905,11650.82,debit
2024-05-20,GitHub subscription,751.4,debit
2025-12-30,Client payment 5995,27155.43,credit
2026-02-13,Zomato order #1085,953.07,debit
2024-12-31,Client payment 5045,192456.4,credit
2024-07-24,IMPS payment 9826,7540.56,debit
2025-10-07,Salary credit 9788,70625.79,credit
2024-07-03,Airtel broadband,1265.83,debit
2025-02-09,Airtel broadband,1298.1,debit
2024-10-23,Zomato order #9419,623.69,debit
2026-01-18,Uber ride 5902,123.34,debit
2025-12-27,Jio recharge,501.0,debit
2026-03-08,Zoom subscription,1253.43,debit
2025-04-14,NEFT transfer 6967,95725.62,credit
2024-09-16,Netflix subscription,743.23,debit
2025-01-19,Refund credit 1370,4439.85,credit
2025-10-26,Zepto groceries,1419.09,debit
2024-06-20,Team lunch 5477,2361.05,debit
2024-08-15,UPI transfer #6702,41201.2,debit
2025-06-13,BigBasket order,2709.51,debit
2024-05-14,Razorpay settlement 1560,23990.94,credit
2025-08-25,Uber ride 4734,393.31,debit
2024-03-30,Salary credit 3336,68536.48,credit
2025-07-29,Zoom subscription,1507.31,debit
2025-12-02,AWS invoice 4681,9860.57,debit
2025-03-29,Jio recharge,312.6,debit
2026-04-27,Zepto groceries,643.91,debit
2024-11-23,Flight booking 5843,5378.8,debit
2025-10-26,Slack subscription,616.28,debit
2024-10-25,AWS invoice 5684,7174.52,debit
2024-01-17,Office supplies,837.71,debit
2025-10-12,Flight booking 4757,7541.29,debit
2025-03-11,Hotel stay 9652,8946.22,debit
2025-07-05,Google Workspace,625.35,debit
2024-07-07,Bank charges 8650,480.56,debit
2025-11-10,Uber ride 9715,214.63,debit
2025-10-14,Microsoft Azure 2961,11454.98,debit
2025-04-26,Figma subscription,1681.94,debit
2025-12-12,Google Workspace,868.03,debit
2026-01-22,Zoom subscription,1210.68,debit
2024-03-15,Slack subscription,1417.98,debit
2024-11-15,Slack subscription,661.66,debit
2024-10-20,ATM withdrawal 9962,2638.55,debit
2024-10-15,Microsoft Azure 2389,4416.2,debit
2025-11-13,Zomato order #8006,518.05,debit
2026-02-28,Google Workspace,943.74,debit
2025-04-14,Flight booking 3733,14309.12,debit
2025-02-12,Client payment 3136,35314.22,credit
2025-01-26,Swiggy order #7214,438.61,debit
2025-08-31,GitHub subscription,851.35,debit
2024-04-19,Airtel broadband,706.33,debit
2024-12-01,Spotify premium,100.77,debit
2024-11-28,Salary credit 5396,86202.92,credit
2024-03-28,Interest credit,144.71,credit
2026-04-15,Microsoft Azure 7824,9262.08,debit
2025-05-01,Figma subscription,1657.06,debit
2024-11-21,Electricity bill 3069,1633.77,debit
2026-03-09,Uber ride 8115,467.19,debit
2025-05-16,Zepto groceries,1575.2,debit
2024-01-01,ATM withdrawal 9284,5073.79,debit
2024-11-12,Uber ride 3708,416.63,debit
2025-08-14,Slack subscription,693.31,debit
2025-09-24,Netflix subscription,525.29,debit
2025-11-04,Electricity bill 1869,1964.36,debit
2024-10-01,Office supplies,732.38,debit
2025-07-12,Team lunch 6259,3478.28,debit
2025-10-28,Uber ride 4922,441.53,debit
2025-03-16,Google Workspace,1544.65,debit
2025-01-17,Zoom subscription,1102.74,debit
2024-03-20,Zepto groceries,532.86,debit
2026-01-20,Amazon purchase,2330.64,debit
2025-06-14,AWS invoice 5842,8623.79,debit
2025-03-14,Slack subscription,1428.85,debit
2026-02-14,Refund credit 3870,472.73,credit
2024-06-06,Uber ride 5376,218.66,debit
2024-11-27,Microsoft Azure 8319,3116.11,debit
2026-02-07,Zepto groceries,1137.17,debit
2024-09-05,Freelance payment 7418,30638.2,credit
2024-02-15,Salary credit 8567,52671.79,credit
2026-02-09,Microsoft Azure 9419,3016.63,debit
2024-03-30,Medical reimbursement,989.99,debit
2025-08-06,Figma subscription,1494.7,debit
2025-03-30,Team lunch 6006,2816.55,debit
2025-05-12,Team lunch 9350,3313.24,debit
2025-11-13,Spotify premium,165.81,debit
2025-05-06,Flipkart order #4840,1864.89,debit
2025-06-01,Spotify premium,108.52,debit
2024-06-12,Razorpay settlement 6087,19524.19,credit
2024-03-11,NEFT transfer 8765,55168.61,credit
2024-01-11,Spotify premium,165.97,debit
2025-09-06,Spotify premium,135.16,debit
2024-05-04,Zomato order #4849,523.65,debit
2024-06-14,Netflix subscription,583.19,debit
2025-07-05,Team lunch 5364,2602.71,debit
2026-02-12,Uber ride 8672,318.47,debit
2025-03-23,Office supplies,926.81,debit
2026-03-23,Jio recharge,303.45,debit
2025-01-21,Ola cab 3131,217.12,debit
2025-10-07,Zepto groceries,1462.9,debit
2026-04-14,AWS invoice 9284,7297.62,debit
2026-02-22,Office supplies,530.52,debit
2025-12-16,NEFT transfer 4303,7185.72,credit
2024-03-06,Electricity bill 1894,3894.14,debit
2024-09-30,Razorpay settlement 1187,18587.56,credit
2024-01-27,Zomato order #2702,619.19,debit
2024-06-14,Google Workspace,934.76,debit
2025-12-25,Netflix subscription,605.18,debit
2024-02-22,Figma subscription,1259.55,debit
2025-10-05,Ola cab 7879,163.55,debit
2024-02-15,Hotel stay 9305,5051.06,debit
2025-03-21,Medical reimbursement,4921.61,debit
2025-11-01,GitHub subscription,1365.48,debit
2025-05-03,Salary credit 1324,120824.71,credit
2026-02-22,Netflix subscription,729.79,debit
2025-07-28,Netflix subscription,535.31,debit
2024-11-03,Myntra order #7592,1273.21,debit
2024-10-28,Flight booking 3400,15643.46,debit
2025-05-13,Google Workspace,1891.75,debit
2026-03-28,IMPS payment 1201,2903.92,debit
2026-01-23,Ola cab 8077,86.37,debit
2025-05-28,Swiggy order #6016,666.51,debit
2025-03-21,Client payment 9977,154159.74,credit
2024-09-08,Zoom subscription,1780.03,debit
2025-10-27,Figma subscription,990.77,debit
2024-04-15,Interest credit,578.56,credit
2025-12-29,Ola cab 3027,225.52,debit
2026-02-28,Electricity bill 4263,1988.65,debit
2025-08-20,Hotel stay 1911,3182.24,debit
2026-02-02,Myntra order #4377,1454.95,debit
2025-06-05,Office supplies,2413.15,debit
2024-02-09,Figma subscription,920.53,debit
2024-12-16,Hotel stay 4160,14257.78,debit
2025-04-01,Netflix subscription,597.35,debit
2025-02-06,Client payment 6816,159305.53,credit
2025-09-08,BigBasket order,2726.06,debit
2024-08-16,Ola cab 7049,113.99,debit
2024-04-01,Zepto groceries,1908.45,debit
2025-03-30,Flight booking 2333,13314.97,debit
2025-02-06,Zomato order #1947,728.14,debit
2025-11-10,Airtel broadband,813.35,debit
2025-01-27,Freelance payment 6213,69920.91,credit
2025-10-08,Zoom subscription,1831.73,debit
2026-03-28,Salary credit 6468,129013.75,credit
2024-10-04,Interest credit,1912.31,credit
2024-09-27,Uber ride 9485,178.29,debit
2025-05-22,Hotel stay 1601,10613.59,debit
2024-10-20,Slack subscription,1098.94,debit
2025-01-21,Zepto groceries,963.51,debit
2025-12-07,Spotify premium,104.55,debit
2024-12-13,Refund credit 6640,2599.09,credit
2025-04-01,Jio recharge,509.91,debit
2024-08-24,Medical reimbursement,3879.48,debit
2025-01-10,Uber ride 5035,481.36,debit
2025-02-16,Netflix subscription,698.21,debit
2024-06-12,Office supplies,1875.86,debit
2026-03-07,Team lunch 1674,4294.92,debit
2024-04-14,Freelance payment 7131,45805.96,credit
2024-04-23,Razorpay settlement 7120,43730.13,credit
2025-11-13,Microsoft Azure 4095,17089.78,debit
2025-07-07,NEFT transfer 7629,80736.9,credit
2024-06-30,BigBasket order,1987.23,debit
2025-06-03,Refund credit 8059,2638.81,credit
2024-09-14,Flight booking 3734,14911.85,debit
2024-07-09,Team lunch 1849,5751.2,debit
2025-09-17,Client payment 7230,147798.29,credit
2024-10-22,IMPS payment 9877,11642.17,debit
2026-01-18,Ola cab 2676,169.6,debit
2024-01-14,Myntra order #2153,2517.47,debit
2024-06-10,Google Workspace,1951.01,debit
2024-11-07,BigBasket order,2377.14,debit
2025-02-28,Slack subscription,1719.07,debit
2025-03-03,Netflix subscription,646.73,debit
2024-05-06,Electricity bill 4366,2010.95,debit
2026-04-29,Swiggy order #1803,407.27,debit
2024-09-15,Freelance payment 4545,45776.96,credit
2026-01-15,Office supplies,667.31,debit
2025-11-25,Spotify premium,195.77,debit
2025-04-20,Jio recharge,261.07,debit
2025-02-15,UPI transfer #8254,27480.72,debit
2026-04-20,Figma subscription,1685.47,debit
2025-08-04,Medical reimbursement,4396.28,debit
2024-08-18,Client payment 3247,21099.2,credit
2025-05-06,Swiggy order #1399,348.14,debit
2025-10-02,Netflix subscription,791.34,debit
2024-09-22,Medical reimbursement,4473.94,debit
2025-12-08,Ola cab 6563,145.89,debit
2025-03-26,Amazon purchase,1320.05,debit
2024-07-23,Spotify premium,117.5,debit
2025-07-08,IMPS payment 3814,16624.94,debit
2024-09-29,ATM withdrawal 4020,1860.9,debit
2025-07-24,Slack subscription,1028.94,debit
2024-07-09,BigBasket order,835.83,debit
2024-06-13,Client payment 2824,118482.2,credit
2024-07-09,IMPS payment 3658,17551.51,debit
2024-11-06,Salary credit 8819,70773.2,credit
2025-06-09,ATM withdrawal 9837,2832.28,debit
2026-02-27,Slack subscription,1567.86,debit
2025-09-06,Microsoft Azure 7075,4498.39,debit
2024-07-10,Jio recharge,466.68,debit
2024-04-14,Freelance payment 8496,23087.19,credit
2025-11-09,Flipkart order #8972,496.0,debit
2026-04-06,Zomato order #4714,470.19,debit
2025-02-28,Team lunch 2525,4711.95,debit
2024-09-26,Google Workspace,1901.49,debit
2024-01-08,Amazon purchase,3087.33,debit
2024-06-12,GitHub subscription,908.43,debit
2025-09-09,Bank charges 1262,412.09,debit
2024-06-03,Razorpay settlement 8208,43386.51,credit
2024-06-21,Myntra order #4281,1409.27,debit
2024-02-08,Slack subscription,1870.03,debit
2025-06-19,Zoom subscription,1357.92,debit
2024-03-17,UPI transfer #8615,5767.63,debit
2024-10-17,Electricity bill 5555,1848.7,debit
2025-06-24,NEFT transfer 9467,72677.55,credit
2026-01-16,AWS invoice 5731,6698.59,debit
2024-04-22,Myntra order #6896,1553.65,debit
2024-08-14,GitHub subscription,647.62,debit
2024-01-29,AWS invoice 8952,12361.58,debit
2026-03-20,Netflix subscription,592.33,debit
2025-08-02,Cheque deposit 4328,65887.14,credit
2024-03-10,Razorpay settlement 8657,7275.99,credit
2024-03-16,Ola cab 2228,134.43,debit
2024-11-23,Hotel stay 1255,11282.45,debit
2024-12-26,Salary credit 2622,103820.95,credit
2025-11-04,Freelance payment 1256,22554.82,credit
2024-07-03,Salary credit 4940,137579.91,credit
2025-10-18,Team lunch 1503,6453.57,debit
2025-06-13,Medical reimbursement,1311.42,debit
2024-10-05,Airtel broadband,1069.58,debit
2026-01-10,Zepto groceries,901.87,debit
2025-11-11,Uber ride 3041,341.73,debit
2026-01-12,Swiggy order #8777,750.75,debit
2024-05-18,Electricity bill 3167,1193.38,debit
2025-05-09,Slack subscription,1232.41,debit
2026-03-04,Netflix subscription,711.21,debit
2025-09-15,Medical reimbursement,1539.25,debit
2025-06-06,Salary credit 4913,89678.52,credit
2024-02-16,Ola cab 8878,242.54,debit
2025-08-09,Cheque deposit 1566,29609.57,credit
2024-11-16,Salary credit 9265,120851.24,credit
2024-03-17,Myntra order #8429,891.82,debit
2025-10-22,Swiggy order #1895,172.63,debit
2024-07-11,Hotel stay 4961,4719.98,debit
2025-06-02,Medical reimbursement,810.95,debit
2025-10-12,Flipkart order #6098,3400.07,debit
2026-02-10,Razorpay settlement 3960,48455.65,credit
2025-10-24,Client payment 2771,129629.02,credit
2025-09-10,Bank charges 4587,143.49,debit
2025-03-06,Spotify premium,165.79,debit
2024-01-31,Slack subscription,660.12,debit
2024-03-12,AWS invoice 1209,14208.07,debit
2025-12-24,GitHub subscription,470.15,debit
2026-03-26,Refund credit 2602,1841.11,credit
2024-02-08,UPI transfer #7298,19839.8,debit
2024-08-17,GitHub subscription,438.71,debit
2024-10-19,Flight booking 9659,6420.28,debit
2026-04-06,Uber ride 1737,334.88,debit
2024-02-13,Swiggy order #5987,330.79,debit
2025-11-12,GitHub subscription,762.87,debit
2025-01-28,Zepto groceries,1587.41,debit
2024-02-28,AWS invoice 7808,12702.24,debit
2026-01-28,Google Workspace,1103.4,debit
2024-04-09,Team lunch 8222,5878.04,debit
2024-12-05,Refund credit 3812,2096.64,credit
2024-11-07,Amazon purchase,4759.47,debit
2025-11-15,GitHub subscription,949.46,debit
2025-04-02,Electricity bill 2102,4187.4,debit
2024-11-10,Slack subscription,1458.75,debit
2024-10-02,Zepto groceries,1721.22,debit
2025-04-20,Team lunch 2158,5800.41,debit
2024-11-28,Slack subscription,1231.26,debit
2025-05-22,Interest credit,1605.46,credit
2026-04-01,Google Workspace,1684.33,debit
2025-09-14,GitHub subscription,1259.44,debit
2024-05-16,Salary credit 2020,131996.29,credit
2025-04-13,Cheque deposit 1839,31201.7,credit
2025-11-11,Hotel stay 6122,14044.3,debit
2024-08-20,Hotel stay 2287,3629.47,debit
2024-01-11,Uber ride 7513,135.95,debit
2025-01-03,Uber ride 7925,238.64,debit
2024-12-13,Jio recharge,522.16,debit
2025-06-12,Zoom subscription,1992.72,debit
2024-11-23,Microsoft Azure 7287,3527.69,debit
2025-01-21,Uber ride 9027,80.24,debit
2024-05-07,Ola cab 7272,134.76,debit
2026-03-30,Flight booking 9582,17663.99,debit
2025-05-01,ATM withdrawal 3735,2342.37,debit
2024-06-26,Google Workspace,612.6,debit
2025-12-19,Spotify premium,186.07,debit
2025-10-10,Flipkart order #8235,2903.12,debit
2025-12-07,Zoom subscription,1088.13,debit
2025-08-07,Flight booking 4356,17683.64,debit
2025-05-25,Uber ride 1291,212.75,debit
2025-10-31,Ola cab 9059,365.66,debit
2024-12-22,Myntra order #4669,2255.36,debit
2025-04-22,Jio recharge,406.94,debit
2024-02-19,Airtel broadband,781.71,debit
2024-12-01,Swiggy order #6591,650.3,debit
2025-12-12,Jio recharge,504.79,debit
2025-12-12,IMPS payment 2843,14115.76,debit
2025-06-26,Figma subscription,1459.8,debit
2025-03-26,NEFT transfer 7864,89489.53,credit
2025-12-29,Figma subscription,942.19,debit
2026-03-23,Slack subscription,1036.02,debit
2024-11-09,Amazon purchase,3715.54,debit
2024-02-26,GitHub subscription,1373.43,debit
2025-01-04,Swiggy order #3886,247.27,debit
2024-02-20,Myntra order #6606,2080.3,debit
2026-03-21,Zepto groceries,832.23,debit
2025-03-22,Myntra order #4005,2394.15,debit
2026-02-17,Bank charges 6398,187.21,debit
2024-05-17,Uber ride 2908,329.75,debit
2025-03-26,Amazon purchase,2503.93,debit
2024-08-30,Client payment 2736,127100.79,credit
2024-05-20,Figma subscription,1909.66,debit
2024-08-25,Medical reimbursement,1753.83,debit
2024-04-05,Client payment 8909,126925.5,credit
2026-03-01,Google Workspace,1599.84,debit
2026-02-23,Office supplies,973.67,debit
2025-12-01,Razorpay settlement 4081,7480.2,credit
2024-12-27,Uber ride 3264,106.91,debit
2024-06-19,Jio recharge,317.77,debit
2025-04-30,Amazon purchase,402.54,debit
2025-07-27,BigBasket order,2829.61,debit
2024-08-02,Google Workspace,704.83,debit
2024-01-06,Spotify premium,135.23,debit
2026-04-24,Myntra order #6460,1985.17,debit
2026-04-28,Interest credit,610.41,credit
2025-02-24,Google Workspace,1471.43,debit
2024-04-13,Client payment 7628,60763.7,credit
2024-11-27,Slack subscription,1268.53,debit
2025-12-16,Spotify premium,173.0,debit
2025-04-07,Google Workspace,1523.07,debit
2026-02-03,Bank charges 1549,426.59,debit
2025-01-28,Zepto groceries,605.79,debit
2026-02-26,Zepto groceries,671.22,debit
2024-10-16,Google Workspace,1714.57,debit
2025-10-31,Google Workspace,1820.75,debit
2025-12-02,Hotel stay 2048,5580.73,debit
2024-01-05,Airtel broadband,1414.11,debit
2024-10-08,Spotify premium,155.67,debit
2025-07-03,Figma subscription,1354.96,debit
2025-10-20,Swiggy order #9123,478.62,debit
2025-09-13,GitHub subscription,1460.8,debit
2026-04-21,Slack subscription,1746.79,debit
2026-01-21,Refund credit 7280,971.73,credit
2026-01-01,Electricity bill 3415,3008.41,debit
2024-04-05,NEFT transfer 7509,36694.05,credit
2024-01-07,Office supplies,2894.98,debit
2024-02-22,Flight booking 1379,4410.38,debit
2026-03-31,Jio recharge,224.28,debit
2025-03-31,Figma subscription,1697.47,debit
2025-10-17,Freelance payment 1112,65967.86,credit
2025-05-09,Salary credit 8412,97616.25,credit
2024-07-03,Airtel broadband,1292.46,debit
2024-05-09,Jio recharge,489.11,debit
2024-11-01,Electricity bill 2989,4935.87,debit
2024-05-21,GitHub subscription,1111.92,debit
2024-11-05,GitHub subscription,852.05,debit
2026-01-25,Uber ride 6532,273.58,debit
2025-07-01,Team lunch 2914,5425.89,debit
2024-06-10,GitHub subscription,1180.52,debit
2026-03-14,Myntra order #3770,1151.11,debit
2025-02-07,Slack subscription,1042.51,debit
2025-02-20,Refund credit 1494,3115.43,credit
2025-08-15,Netflix subscription,585.53,debit
2024-03-21,Zomato order #5232,928.19,debit
2025-11-08,Myntra order #7438,948.88,debit
2025-04-04,Interest credit,1187.94,credit
2024-04-28,Hotel stay 7839,9309.64,debit
2024-09-06,Team lunch 1286,2831.14,debit
2025-11-28,Electricity bill 7597,2814.29,debit
2024-09-07,Salary credit 7449,51721.25,credit
2024-05-10,Client payment 6469,114296.55,credit
2025-09-22,Ola cab 9700,267.79,debit
2025-09-18,Electricity bill 1630,3287.74,debit
2024-05-21,UPI transfer #5374,3398.73,debit
2024-12-01,AWS invoice 6828,3185.77,debit
2024-08-28,Zepto groceries,321.67,debit
2025-09-01,Amazon purchase,4708.61,debit
2024-01-20,Team lunch 9970,5427.16,debit
2025-11-06,Razorpay settlement 1478,9024.43,credit
2024-06-02,Amazon purchase,1647.55,debit
2024-06-07,Flight booking 1093,6385.09,debit
2026-01-11,Zoom subscription,1496.13,debit
2025-04-27,Netflix subscription,729.41,debit
2024-09-09,Slack subscription,691.73,debit
2024-07-03,Office supplies,1749.72,debit
2024-05-17,Jio recharge,523.77,debit
2024-03-03,ATM withdrawal 9192,5146.23,debit
2025-11-03,Razorpay settlement 5503,6179.81,credit
2025-01-02,Refund credit 4156,1291.53,credit
2025-07-29,Razorpay settlement 5820,24345.34,credit
2026-03-28,Freelance payment 5798,56901.99,credit
2025-07-30,Electricity bill 2376,2198.22,debit
2024-06-18,GitHub subscription,1226.57,debit
2025-08-12,Ola cab 5073,331.92,debit
2025-03-05,Cheque deposit 9844,13437.64,credit
2025-08-10,Zomato order #9765,752.07,debit
2026-02-24,BigBasket order,2999.01,debit
2026-03-16,ATM withdrawal 5795,2381.57,debit
2025-07-06,Zepto groceries,554.29,debit
2025-04-10,Figma subscription,1100.1,debit
2024-02-12,Google Workspace,954.37,debit
2025-11-18,Microsoft Azure 2392,8845.09,debit
2025-04-02,Flipkart order #8189,3334.5,debit
2024-05-01,Salary credit 5263,107693.37,credit
2026-01-21,Flipkart order #6530,1739.1,debit
2025-07-06,Zomato order #3781,810.0,debit
2025-09-06,Airtel broadband,1407.34,debit
2024-09-08,Cheque deposit 1889,67575.45,credit
2025-03-22,Razorpay settlement 4388,43600.76,credit
2024-07-29,Ola cab 1981,394.6,debit
2025-12-07,AWS invoice 3065,3540.73,debit
2026-03-24,Flipkart order #8309,3824.3,debit
2025-11-20,Client payment 7599,119256.65,credit
2024-04-08,Bank charges 9108,112.01,debit
2024-06-05,Swiggy order #5050,721.93,debit
2025-01-26,Airtel broadband,648.44,debit
2025-07-01,GitHub subscription,866.22,debit
2025-12-23,Netflix subscription,665.77,debit
2024-01-14,Salary credit 6605,73650.49,credit
2024-05-11,Netflix subscription,686.69,debit
2024-04-19,Netflix subscription,571.63,debit
2024-11-09,Freelance payment 8469,14570.09,credit
2024-08-18,Figma subscription,890.15,debit
2026-03-02,Electricity bill 7956,4592.09,debit
2025-08-05,Spotify premium,106.02,debit
2024-05-05,Jio recharge,379.84,debit
2024-02-03,Spotify premium,126.28,debit
2026-02-06,Microsoft Azure 8276,18762.89,debit
2024-03-10,Client payment 9052,56022.39,credit
2024-06-29,Myntra order #8547,2722.95,debit
2024-01-27,Client payment 3916,98166.73,credit
2024-03-09,NEFT transfer 1667,25223.17,credit
2024-02-22,Slack subscription,1208.49,debit
2025-02-27,Netflix subscription,649.12,debit
2025-01-28,Zoom subscription,1505.44,debit
2024-10-19,Jio recharge,386.33,debit
2025-07-23,Zepto groceries,420.57,debit
2024-05-15,Hotel stay 5055,3901.16,debit
2024-07-20,Microsoft Azure 4013,7849.1,debit
2025-06-08,Medical reimbursement,572.91,debit
2025-04-21,AWS invoice 2085,12338.11,debit
2025-10-07,Freelance payment 2395,31619.37,credit
2024-07-20,UPI transfer #7705,28776.44,debit
2024-04-08,Razorpay settlement 3187,10782.61,credit
2024-01-14,Amazon purchase,2530.62,debit
2024-09-21,Interest credit,1012.05,credit
2026-04-21,Office supplies,1768.5,debit
2024-08-01,Swiggy order #2310,469.41,debit
2025-06-30,Client payment 7301,115845.4,credit
2025-07-13,Freelance payment 9653,33849.79,credit
2025-02-22,Hotel stay 7963,13085.64,debit
2025-03-29,Medical reimbursement,3370.47,debit
2024-11-10,Figma subscription,1782.86,debit
